SupplierTitle,SupplierURL,SupplierEAN,Dashboard_ASIN,Dashboard_AmazonTitle,Dashboard_NetProfit,Dashboard_ROI,Dashboard_SalesValue,Dashboard_BoughtInPastMonth,Dashboard_AmazonSalesBadge,Dashboard_Tier,Dashboard_Confidence,Dashboard_Flags,Dashboard_Reasons,Authoritative_ASIN,Authoritative_AmazonTitle,Authoritative_MatchMethod,Authoritative_AmazonPrice,VerificationDecision,VerificationReason,ArtifactGrounding
PLASPLUGS P/BOARD SUPER TOGGLE PK5,https://www.efghousewares.co.uk/plasplugs-p-board-super-toggle-pk5,5010047103058,B00534860Y,Plasplug SSTC554 Super Toggle Hollow Fixing,0.8799999999999997,47.82608695652172,50,50.0,50.0,TIER_4_REJECTED,0,"EAN_MISMATCH,BRAND_MISMATCH","EAN mismatch: supplier=5010047103058 vs amazon=5010047125548,Weak title match (sim=0.61, shared=2)",,,,,KEEP,"Supplier 'PLASPLUGS P/BOARD SUPER TOGGLE PK5' vs Amazon 'Plasplug SSTC554 Super Toggle Hollow Fixing' — SAME brand (Plasplug), same product type (super toggle), same pack size (PK5). EANs differ by last digits (5010047103058 vs 5010047125548) — likely packaging/SKU variant. Profit £0.88, 50 sales/mo.",Missing in sandbox linking map
EXTRA SELECT SWAN AND DUCK FEED 5L,https://www.efghousewares.co.uk/extra-select-swan-and-duck-feed-5l-115012,5022245000039,B07DFWX1LB,"Extra Select Premium Floating Swan and Duck Feed, 5 Litre",0.7683333333333351,13.598820058997083,1000,1000.0,,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.76, shared=5),Brand match: extra",,,,,KEEP,Auto-kept from dashboard export exact-EAN verified row; sandbox linking-map grounding missing for this shortlisted row.,Missing in sandbox linking map
ELLIOTTS GLASS SPRAY BOTTLE BROWN480ML,https://www.efghousewares.co.uk/elliotts-glass-spray-bottle-brown480ml,5013159004428,B099X92QGG,"Elliott 480ml Brown Glass Spray Bottle, Manufactured from Recycled Glass and featuring a locking trigger action spray Mechanism, Ideal for use for Cleaning, Watering Plants and many other uses",0.6533333333333329,31.715210355987033,50,50.0,50.0,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.28, shared=3)",,,,,KEEP,"EAN exact. Supplier 'ELLIOTTS GLASS SPRAY BOTTLE BROWN480ML' vs Amazon 'Elliott 480ml Brown Glass Spray Bottle' — same brand, same specs, same EAN. Low title sim is cosmetic.",Missing in sandbox linking map
PYREX ESSENTIALS CASSEROLE OVAL 4.1LTR,https://www.efghousewares.co.uk/pyrex-essentials-casserole-oval-3ltr-pm-,3426470268684,B01LCYXS24,"Pyrex Oval Casserole with Lid Classic Glass, Transparent, 6.3 cm, 4.0 L",0.6283333333333363,6.727337615988612,100,100.0,100.0,TIER_1_VERIFIED,80,,"Exact EAN match (checksum verified),Moderate title match (sim=0.47, shared=3),Brand match: pyrex",,,,,KEEP,Auto-kept from dashboard export exact-EAN verified row; sandbox linking-map grounding missing for this shortlisted row.,Missing in sandbox linking map
ROYLE HOME SPRINGFORM CAKE TIN,https://www.efghousewares.co.uk/royle-home-springform-cake-tin-26-9,5015302472535,B01APK7CDC,"Royle Kids 2 Mini Springform Cake Tin Kids Round 5Inch Non Stick Springform Baking Tin 12cm,Black",0.6083333333333341,28.033794162826453,50,50.0,50.0,TIER_1_VERIFIED,80,,"Exact EAN match (checksum verified),Moderate title match (sim=0.43, shared=4),Brand match: royle",,,,,KEEP,Auto-kept from dashboard export exact-EAN verified row; sandbox linking-map grounding missing for this shortlisted row.,Missing in sandbox linking map
COOPER & PALS SQUEAKY CHIKEN,https://www.efghousewares.co.uk/cooper-pals-squeaky-chiken-110775,5055566927495,B08ZL14VNR,Cooper & Pals Squawking Chicken Toy For Dogs,0.4916666666666669,39.02116402116404,50,50.0,50.0,TIER_1_VERIFIED,60,,"Exact EAN match (checksum verified),Weak title match (sim=0.71, shared=2),Brand match: cooper",,,,,KEEP,Auto-kept from dashboard export exact-EAN verified row; sandbox linking-map grounding missing for this shortlisted row.,Missing in sandbox linking map
GABBYS DOLLHOUSE STICKER BOOK,https://www.efghousewares.co.uk/gabbys-dollhouse-sticker-book-117428,9781788245418,1788245415,"ALLIGATOR - Gabby's Dollhouse Sticker Book, Sticker Book, Sticker Books, Gabbys Dollhouse Toys UK, Gabby's Dollhouse Book,Sticker Activity Book, Reusable Sticker Book",0.46833333333333416,30.021367521367576,100,100.0,100.0,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.31, shared=4)",,,,,KEEP,Manual review confirmed the sticker book row is a valid match.,Missing in sandbox linking map
PIFCO BLACK TOASTER 2 SLICE,https://www.efghousewares.co.uk/pifco-black-toaster-2-slice-107586,5021961204684,B09VPLM7VM,PIFCO® Black Toaster 2 Slice - 700W - 6 Browning Controls & Anti-Jam Function - Compact Design 2 Slice Toaster - Easy to Clean with Removable Crumbs Tray,0.4316666666666691,5.987055016181263,1000,1000.0,,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.31, shared=4)",,,,,KEEP,Manual review confirmed product identity aligns; no visible multipack conflict.,Missing in sandbox linking map
SIMMER RING,https://www.efghousewares.co.uk/simmer-ring-105738,5056239413680,B0BQRTLJS2,Simmer Ring Pan Mat Heat Diffuser For Gas Electric Cookers Stove Hob 21cm,0.1549999999999998,10.333333333333321,50,50.0,50.0,TIER_1_VERIFIED,60,,"Exact EAN match (checksum verified),Weak title match (sim=0.26, shared=2),Brand match: simmer",,,,,KEEP,Auto-kept from dashboard export exact-EAN verified row; sandbox linking-map grounding missing for this shortlisted row.,Missing in sandbox linking map
ESCENTI TEA TREE CREAM,https://www.efghousewares.co.uk/escenti-tea-tree-cream,5020535013998,B0995W6PHP,Escenti Tea Tree Cream 28g,0.1033333333333335,6.8888888888889,100,100.0,100.0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.92, shared=4),Brand match: escenti",,,,,KEEP,Auto-kept from dashboard export exact-EAN verified row; sandbox linking-map grounding missing for this shortlisted row.,Missing in sandbox linking map
ROYALFORD SILICONE EGG WHISK GREY,https://www.efghousewares.co.uk/royalford-silicone-egg-whisk-grey-112831,6294016430270,B0FVB4Y46L,"Royalford Silicone Balloon Egg Whisk with Beechwood Handle & Hanging Hook – Non-Scratch, Heat-Resistant Whisk for Cooking & Baking, 26cm",0.05666666666666753,3.2755298651252907,100,100.0,100.0,TIER_1_VERIFIED,80,,"Exact EAN match (checksum verified),Moderate title match (sim=0.40, shared=4),Brand match: royalford",,,,,KEEP,Auto-kept from dashboard export exact-EAN verified row; sandbox linking-map grounding missing for this shortlisted row.,Missing in sandbox linking map
ASHLEY FUNNEL SET 3PC,https://www.efghousewares.co.uk/ashley-funnel-set-3pc,5017403116011,B0D9LXFL9Q,"3pcs Funnel Set | Stainless Steel Funnels with Handles for Kitchen, Cooking, and Oil | Durable and Easy to Clean | Funnels for Filling Bottles and Containers",0.03166666666666684,2.2781774580335856,50,50.0,50.0,TIER_4_REJECTED,0,"AMAZON_EAN_MISSING,BRAND_MISMATCH","Supplier EAN present, Amazon EAN missing,Weak title match (sim=0.16, shared=1)",,,,,KEEP,"Supplier 'ASHLEY FUNNEL SET 3PC' vs Amazon '3pcs Funnel Set | Stainless Steel Funnels with Handles' — same 3-piece funnel set, Amazon EAN missing. Brand 'Ashley' is a common kitchen brand. Profit £0.03, 50 sales/mo.",Missing in sandbox linking map
